# NOTARIUS confusables (ASCII-target subset) — look-alikes that masquerade as ASCII.
# PROVENANCE: derived from UTS#39 confusables.txt, Unicode 17.0.0.
# The source data was read out of the sibling project rus1978rus/msl_mip
# (tools/sources/17.0.0/confusables.txt); msl_mip itself was NOT modified (AD-80).
# Original: https://www.unicode.org/Public/security/latest/confusables.txt
# Data license: Unicode License (permits redistribution with attribution).
# Selected entries whose prototype is PURELY printable ASCII (our case: masquerading
# as Latin letters/digits/punctuation). Format: SRC_HEX;TARGET_HEX[ TARGET_HEX...]
1D778;0069
1D77C;0076
1D77E;006F
1D780;0070
1D782;006F
1D784;0075
1D78E;0070
1D790;0041
1D791;0042
1D794;0045
1D795;005A
1D796;0048
1D798;006C
1D799;004B
1D79B;004D
1D79C;004E
1D79E;004F
1D7A0;0050
1D7A3;0054
1D7A4;0059
1D7A6;0058
1D7AA;0061
1D7AC;0079
1D7B2;0069
1D7B6;0076
1D7B8;006F
1D7BA;0070
1D7BC;006F
1D7BE;0075
1D7C8;0070
1D7CA;0046
1D7CE;004F
1D7CF;006C
1D7D0;0032
1D7D1;0033
1D7D2;0034
1D7D3;0035
1D7D4;0036
1D7D5;0037
1D7D6;0038
1D7D7;0039
1D7D8;004F
1D7D9;006C
1D7DA;0032
1D7DB;0033
1D7DC;0034
1D7DD;0035
1D7DE;0036
1D7DF;0037
1D7E0;0038
1D7E1;0039
1D7E2;004F
1D7E3;006C
1D7E4;0032
1D7E5;0033
1D7E6;0034
1D7E7;0035
1D7E8;0036
1D7E9;0037
1D7EA;0038
1D7EB;0039
1D7EC;004F
1D7ED;006C
1D7EE;0032
1D7EF;0033
1D7F0;0034
1D7F1;0035
1D7F2;0036
1D7F3;0037
1D7F4;0038
1D7F5;0039
1D7F6;004F
1D7F7;006C
1D7F8;0032
1D7F9;0033
1D7FA;0034
1D7FB;0035
1D7FC;0036
1D7FD;0037
1D7FE;0038
1D7FF;0039
1E6E9;002B
1E8C7;006C
1E8CB;0038
1EE00;006C
1EE24;006F
1EE64;006F
1EE80;006C
1EE84;006F
1F100;004F 002E
1F101;004F 002C
1F102;006C 002C
1F103;0032 002C
1F104;0033 002C
1F105;0034 002C
1F106;0035 002C
1F107;0036 002C
1F108;0037 002C
1F109;0038 002C
1F10A;0039 002C
1F110;0028 0041 0029
1F111;0028 0042 0029
1F112;0028 0043 0029
1F113;0028 0044 0029
1F114;0028 0045 0029
1F115;0028 0046 0029
1F116;0028 0047 0029
1F117;0028 0048 0029
1F118;0028 006C 0029
1F119;0028 004A 0029
1F11A;0028 004B 0029
1F11B;0028 004C 0029
1F11C;0028 004D 0029
1F11D;0028 004E 0029
1F11E;0028 004F 0029
1F11F;0028 0050 0029
1F120;0028 0051 0029
1F121;0028 0052 0029
1F122;0028 0053 0029
1F123;0028 0054 0029
1F124;0028 0055 0029
1F125;0028 0056 0029
1F126;0028 0057 0029
1F127;0028 0058 0029
1F128;0028 0059 0029
1F129;0028 005A 0029
1F12A;0028 0053 0029
1F700;0051 0045
1F707;0041 0052
1F74C;0043
1F75C;0073 0073 0073
1F768;0054
1F76B;004D 0042
1F76C;0056 0042
1FBF0;004F
1FBF1;006C
1FBF2;0032
1FBF3;0033
1FBF4;0034
1FBF5;0035
1FBF6;0036
1FBF7;0037
1FBF8;0038
1FBF9;0039
